freq,psd_x,psd_y,psd_z,psd_xyz
154.4,2.247e+01,7.112e+01,5.933e+01,1.529e+02
155.9,2.123e+01,7.230e+01,4.547e+01,1.390e+02
157.4,2.050e+01,7.732e+01,3.853e+01,1.364e+02
158.9,1.616e+01,6.538e+01,3.975e+01,1.213e+02
160.4,1.496e+01,5.277e+01,3.869e+01,1.064e+02
161.9,1.690e+01,4.759e+01,4.193e+01,1.064e+02
163.4,1.975e+01,5.062e+01,4.505e+01,1.154e+02
164.9,2.244e+01,5.726e+01,5.055e+01,1.302e+02
166.4,2.159e+01,6.741e+01,5.923e+01,1.482e+02
167.9,1.923e+01,7.763e+01,7.533e+01,1.722e+02
169.4,1.844e+01,8.790e+01,8.679e+01,1.931e+02
170.9,1.960e+01,1.031e+02,8.535e+01,2.080e+02
172.3,1.763e+01,1.289e+02,7.876e+01,2.253e+02
173.8,1.662e+01,1.230e+02,6.951e+01,2.091e+02
175.3,1.856e+01,1.340e+02,7.287e+01,2.255e+02
176.8,1.562e+01,1.118e+02,7.231e+01,1.998e+02
178.3,1.556e+01,9.702e+01,7.001e+01,1.826e+02
179.8,1.591e+01,8.615e+01,6.893e+01,1.710e+02
181.3,1.529e+01,7.917e+01,7.159e+01,1.661e+02
182.8,1.513e+01,7.361e+01,7.870e+01,1.674e+02
184.3,1.528e+01,6.833e+01,7.553e+01,1.592e+02
185.8,1.442e+01,6.360e+01,6.701e+01,1.450e+02
187.3,1.378e+01,6.043e+01,6.503e+01,1.392e+02
188.8,1.386e+01,5.720e+01,6.396e+01,1.350e+02
190.3,1.374e+01,5.363e+01,6.729e+01,1.347e+02
191.8,1.509e+01,5.530e+01,7.243e+01,1.428e+02
193.3,1.679e+01,6.191e+01,6.950e+01,1.482e+02
194.8,1.618e+01,6.412e+01,6.590e+01,1.462e+02
196.3,1.640e+01,6.612e+01,5.986e+01,1.424e+02
197.8,1.617e+01,6.344e+01,5.953e+01,1.391e+02
199.3,1.499e+01,6.412e+01,5.577e+01,1.349e+02
